endereco,numero,cep
PRACA CORONEL LUCENA MARANHAO,SN,57018-155
RUA MARQUES DE ABRANTES,446,57017-601
LADEIRA PROF BENEDITO SILVA,42,57018-830
RUA TOBIAS BARRETO,45,57017-690
RUA DOUTOR PASSOS DE MIRANDA,96,57018-035
RUA SENADOR BERNARDO MENDONCA,240,57017-680
RUA MANOEL SAMPAIO,80,57017-840
LADEIRA PROFESSOR BENEDITO SILVA,85,57018-830
RUA JOSE VIANA DE SOUZA,37,57017-630
RUA FAUSTINO SILVEIRA,368,57017-692
RUA AUGUSTO BARRETO,60,57018-065
RUA CONEGO COSTA,3.815,57018-095
RUA SABINO ROMARIZ,122,57017-890
RUA TOBIAS BARRETO,701,57017-690
RUA AUGUSTO BARRETO,88,57018-065
RUA TOBIAS BARRETO,757,57017-690
RUA CAMARAGIBE,47,57017-750
RUA CAMARAGIBE,125,57017-750
RUA MARQUES DE ABRANTES,495,57017-601
RUA CONEGO COSTA,3870,57018-095
RUA DR PASSOS DE MIRANDA,239,57036-540
RUA FAUSTINO SILVEIRA,169,57017-692
RUA TOBIAS BARRETO,421,57017-690
TRAVESSA SANTA LUZIA,142,57017-650
RUA TOBIAS BARRETO,747,57017-690
RUA TOBIAS BARRETO,454,57017-690
RUA TOBIAS BARRETO,406,57017-690
RUA DR.OSWALDO CRUZ,485,57036-540
RUA DOUTOR JOSE MARTINS NETO,130,57017-600
RUA CONEGO COSTA,3769,57018-095
RUA MARQUES DE ABRANTES,1069,57017-601
RUA TOBIAS BARRETO,347A,57017-690
AVENIDA MAJOR CICERO DE GOES MONTEIRO,3425,57017-766
RUA TOBIAS BARRETO,717,57017-690
RUA DOUTOR PASSOS DE MIRANDA,181,57018-035
RUA TOBIAS BARRETO,176,57017-690
TRAVESSA BELO ALVES,98,57017-615
RUA MARQUES DE ABRANTES,S N,57018-655
RUA CONEGO COSTA,3863,57018-095
RUA CONEGO COSTA,3940,57018-095
RUA ANAHY,97,57017-660
RUA TOBIAS BARRETO,766,57017-690
RUA MARQUES DE ABRANTES,153,57017-601
RUA ARGEMIRO MORAIS,10,57018-055
RUA MANOEL SAMPAIO,201,57017-840
TRAVESSA CONEGO JOSE BELARMINO BARBOSA,141,57018-135
RUA BRASILIA,17,57018-310
RUA CONEGO COSTA,4002,57018-095
RUA TOBIAS BARRETO,45,57017-690
RUA MANOEL SAMPAIO,53,57017-840
RUA PEDRO BELTRAO,322,57018-045
RUA TOBIAS BARRETO,973,57017-690
LOTEAMENTO MONSENHOR TOBIAS COSTA,6,57017-800
RUA JOSE MOREIRA,2003,57017-620
RUA DOUTOR PASSOS DE MIRANDA,37,57018-035
RUA FAUSTINO SILVEIRA,721,57017-692
RUA DR OSVALDO CRUZ,SN,57036-540
RUA MARQUES DE ABRANTES,07,57017-601
RUA DOUTOR PASSOS DE MIRANDA,177,57018-035
RUA MARQUES DE ABRANTES,237,57017-601
RUA TOBIAS BARRETO,898A,57017-690
RUA MARQUES DE ABRANTES,60,57017-601
RUA TOBIAS BARRETO,806,57017-690
RUA MARQUES DE ABRANTES,SN,57017-601
RUA TOBIAS BARRETO,484B,57017-690
RUA CARTEIRO JOAO FIRMINO,179,57017-815
RUA JOAQUIM FERREIRA DE BARROS,04,57018-105
RUA COLEGIO NOSSA SENHORA DO BOM CONSELHO,38,57017-720
RUA TOBIAS BARRETO,312,57017-690
TRAVESSA PEDRO BELTRAO,302,57018-050
RUA TOBIAS BARRETO,326,57017-690
RUA CONEGO COSTA,3950,57018-095
RUA TOBIAS BARRETO,484,57017-690
TRAVESSA CONEGO JOSE BELARMINO BARBOSA,70,57018-135
RUA MARQUES DE ABRANTES,1087,57017-601
RUA TOBIAS BARRETO,380,57017-690
RUA VEREADOR BRUNO FERRARI,71,57018-610
RUA DR OSVALDO CRUZ,814,57036-540
RUA SABINO ROMARIZ,216,57017-890
RUA TOBIAS BARRETO,622,57017-690
RUA SABINO ROMARIZ,110,57017-890
RUA AUGUSTO BARRETO,115,57018-065
RUA TOBIAS BARRETO,240,57017-690
RUA BONIFACIO SILVEIRA,228,57036-540
RUA TOBIAS BARRETO,709,57017-690
AVENIDA MAJOR CICERO DE GOES MONTEIRO,3188,57017-766
RUA TOBIAS BARRETO,755,57017-690
RUA TOBIAS BARRETO,396,57017-690
RUA TOBIAS BARRETO,760,57017-690
RUA FAUSTINO SILVEIRA,18,57018-620
RUA JOAQUIM FERREIRA DE BARROS,87,57018-105
RUA DOUTOR PASSOS DE MIRANDA,71-B,57018-035
RUA MARQUES DE ABRANTES,866,57017-601
RUA TOBIAS BARRETO,346,57017-690
RUA MARQUES DE ABRANTES,85 D,57017-601
RUA VEREADOR JORGE OMENA,141,57018-110
RUA TOBIAS BARRETO,450,57017-690
RUA FAUSTINO SILVEIRA - LADO IMPAR,606A,57017-692
RUA ARGEMIRO MORAIS,45,57018-055
TRAVESSA BELARMINO BARBOSA,30,57018-080
RUA JOSE MOREIRA,1974,57017-620
RUA TOBIAS BARRETO,SN,57017-690
1A TRAVESSA TOBIAS BARRETO,737,57017-695
RUA MARQUES DE ABRANTES,355-A,57017-601
RUA FAUSTINO SILVEIRA,219,57018-620
RUA SENADOR BERNARDO MENDONCA,91,57017-680
RUA DOUTOR PASSOS DE MIRANDA,71C,57018-035
RUA CONEGO COSTA,3815,57018-095
RUA JOSE MOREIRA,2008B,57017-620
RUA DOUTOR PASSOS DE MIRANDA,483,57018-035
RUA PEDRO MARINHO FILHO,10,57017-860
TRAVESSA SANTA LUZIA,215,57017-650
RUA CON COSTA,3673,57036-540
RUA MANOEL SAMPAIO,220,57017-840
RUA DOUTOR PASSOS DE MIRANDA,795,57018-035
RUA MARQUES DE ABRANTES,13,57017-601
RUA TOBIAS BARRETO,544,57017-690
RUA MARQUES DE ABRANTES,1,57017-601
RUA SABINO ROMARIZ,0089,57017-890
CONJUNTO PADRE PINHO,32,57018-280
RUA MANOEL SAMPAIO,73,57017-840
RUA CONEGO COSTA,3957-A,57018-095
RUA MARQUES DE ABRANTES,996,57017-601
TRAVESSA SANTA LUZIA,189 C,57017-650
RUA MARQUES DE ABRANTES,6A,57017-601
RUA JOSE MOREIRA,2025,57017-620
RUA SABINO ROMARIZ,50,57017-890
RUA MARQUES DE ABRANTES,89,57017-601
RUA CONEGO COSTA,3823,57018-095
RUA TV BELO ALVES,135,57017-360
RUA CONEGO COSTA,3673,57018-095
RUA TOBIAS BARRETO,994,57017-690
RUA MARQUES DE ABRANTES,749,57017-601
RUA JOSE MOREIRA,2012,57017-620
RUA PEDRO VIANA DE OLIVEIRA,107 A,57017-870
RUA CARTEIRO JOAO FIRMINO,95,57017-815
RUA BRASILIA,23,57018-310
RUA TOBIAS BARRETO,865,57017-690
RUA TOBIAS BARRETO,S/N,57017-690
RUA DOUTOR PASSOS DE MIRANDA,37,57018-035
RUA DOUTOR PASSOS DE MIRANDA,335,57018-035
RUA CAMARAGIBE,181,57017-750
RUA PEDRO VIANA DE OLIVEIRA,92,57017-870
RUA CAMARAGIBE,341,57017-750
LOTEAMENTO MONSENHOR TOBIAS COSTA,03,57017-800
RUA CONEGO COSTA,3673,57018-095
RUA CONEGO COSTA,3969,57018-095
LADEIRA PROFESSOR BENEDITO SILVA,56,57017-686
RUA MARQUES DE ABRANTES,6,57017-601
RUA TOBIAS BARRETO,73,57017-690
RUA MARQUES DE ABRANTES,608,57017-601
RUA ANAHY,310,57017-660
RUA CONEGO COSTA,SN,57018-095
TRAVESSA SANTA LUZIA,221,57017-650
RUA MARQUES DE ABRANTES,515,57017-601
RUA MARQUES DE ABRANTES,767,57017-601
RUA FAUSTINO SILVEIRA,368,57017-692
RUA SABINO ROMARIZ,114,57017-890
RUA BRASILIA,68,57018-310
RUA FAUSTINO SILVEIRA,691,57017-692
RUA MARQUES DE ABRANTES,592,57017-601
RUA MARQUES DE ABRANTES,S/N,57017-601
RUA TOBIAS BARRETO,12,57017-690
RUA MANOEL SAMPAIO,40,57017-840
RUA MARQUES DE ABRANTES,89,57017-601
RUA VEREADOR BRUNO FERRARI,45,57018-152
RUA TOBIAS BARRETO,90,57017-690
TRAVESSA SANTA LUZIA,65,57017-650
RUA MARQUES DE ABRANTES,64,57017-601
RUA DOUTOR PASSOS DE MIRANDA,152,57018-035
RUA CONEGO COSTA,3891,57018-095
